ID,Filename,Learner ID,Level,Date,Gender,Age,L1,Other L1,Prompt,Subcorpus
931,931.txt,1005,MA 1,20/01/2019,,,Arabic,Hebrew,38,ArCC
932,932.txt,1003,MA 1,20/01/2019,,,Arabic,Hebrew,38,ArCC
933,933.txt,1013,MA 1,20/01/2019,,,Arabic,Hebrew,38,ArCC
934,934.txt,1015,MA 1,20/01/2019,,,Arabic,Hebrew,38,ArCC
935,935.txt,1008,MA 1,20/01/2019,,,Arabic,Hebrew,38,ArCC
936,936.txt,1016,MA 1,20/01/2019,,,Arabic,Hebrew,38,ArCC
937,937.txt,1011,MA 1,20/01/2019,,,Arabic,Hebrew,38,ArCC
938,938.txt,1009,MA 1,09/06/2019,,,Arabic,Hebrew,39,ArCC
939,939.txt,1001,MA 1,09/06/2019,,,Arabic,Hebrew,39,ArCC
940,940.txt,1007,MA 1,09/06/2019,,,Arabic,Hebrew,39,ArCC
941,941.txt,1017,MA 1,09/06/2019,,,Arabic,Hebrew,39,ArCC
942,942.txt,1012,MA 1,09/06/2019,,,Arabic,Hebrew,39,ArCC
943,943.txt,1006,MA 1,09/06/2019,,,Arabic,Hebrew,39,ArCC
944,944.txt,1000,MA 1,09/06/2019,,,Arabic,Hebrew,39,ArCC
945,945.txt,1018,MA 1,09/06/2019,,,Arabic,Hebrew,39,ArCC
946,946.txt,1010,MA 1,09/06/2019,,,Arabic,Hebrew,39,ArCC
947,947.txt,1014,MA 1,09/06/2019,,,Arabic,Hebrew,39,ArCC
948,948.txt,1019,MA 1,09/06/2019,,,Arabic,Hebrew,39,ArCC
949,949.txt,1002,MA 1,09/06/2019,,,Arabic,Hebrew,39,ArCC
950,950.txt,1004,MA 1,09/06/2019,,,Arabic,Hebrew,39,ArCC
951,951.txt,1005,MA 1,09/06/2019,,,Arabic,Hebrew,39,ArCC
952,952.txt,1003,MA 1,09/06/2019,,,Arabic,Hebrew,39,ArCC
953,953.txt,1013,MA 1,09/06/2019,,,Arabic,Hebrew,39,ArCC
954,954.txt,1015,MA 1,09/06/2019,,,Arabic,Hebrew,39,ArCC
955,955.txt,1008,MA 1,09/06/2019,,,Arabic,Hebrew,39,ArCC
956,956.txt,1016,MA 1,09/06/2019,,,Arabic,Hebrew,39,ArCC
957,957.txt,3000,HS 9-10,,m,14,Hebrew/Arabic,,40,ILCoWE Phase 1
958,958.txt,3001,HS 9-10,,f,14,Hebrew/Arabic,,40,ILCoWE Phase 1
959,959.txt,3002,HS 9-10,,f,15,Hebrew/Arabic,,41,ILCoWE Phase 1
960,960.txt,3003,HS 9-10,,f,14,Hebrew/Arabic,,41,ILCoWE Phase 1
961,961.txt,3004,HS 9-10,,f,15,Hebrew/Arabic,,42,ILCoWE Phase 1
962,962.txt,3005,HS 9-10,,m,15,Hebrew/Arabic,,41,ILCoWE Phase 1
963,963.txt,3006,HS 9-10,,m,14,Hebrew/Arabic,,40,ILCoWE Phase 1
964,964.txt,3007,HS 9-10,,m,15,Hebrew/Arabic,,43,ILCoWE Phase 1
965,965.txt,3008,HS 9-10,,f,15,Hebrew/Arabic,,43,ILCoWE Phase 1
966,966.txt,3009,HS 9-10,,f,15,Hebrew/Arabic,,40,ILCoWE Phase 1
967,967.txt,3010,HS 9-10,,f,15,Hebrew/Arabic,,40,ILCoWE Phase 1
968,968.txt,3011,HS 9-10,,f,15,Hebrew/Arabic,,40,ILCoWE Phase 1
969,969.txt,3012,HS 9-10,,f,15,Hebrew/Arabic,,40,ILCoWE Phase 1
970,970.txt,3013,HS 9-10,,f,15,Hebrew/Arabic,,44,ILCoWE Phase 1
971,971.txt,3014,HS 9-10,,m,15,Hebrew/Arabic,,40,ILCoWE Phase 1
972,972.txt,3015,HS 9-10,,f,15,Hebrew/Arabic,,45,ILCoWE Phase 1
973,973.txt,3016,HS 9-10,,m,15,Hebrew/Arabic,,46,ILCoWE Phase 1
974,974.txt,3017,HS 9-10,,m,15,Hebrew/Arabic,,47,ILCoWE Phase 1
975,975.txt,3018,HS 9-10,,f,15,Hebrew/Arabic,,42,ILCoWE Phase 1
976,976.txt,3019,HS 9-10,,m,15,Hebrew/Arabic,,47,ILCoWE Phase 1
977,977.txt,3020,HS 9-10,,f,15,Hebrew/Arabic,,42,ILCoWE Phase 1
978,978.txt,3021,HS 9-10,,m,15,Hebrew/Arabic,,41,ILCoWE Phase 1
979,979.txt,3022,HS 9-10,,m,15,Hebrew/Arabic,,48,ILCoWE Phase 1
980,980.txt,3023,HS 9-10,,m,15,Hebrew/Arabic,,42,ILCoWE Phase 1
981,981.txt,3024,HS 9-10,,m,15,Hebrew/Arabic,,49,ILCoWE Phase 1
982,982.txt,3025,HS 9-10,,m,14,Hebrew/Arabic,,42,ILCoWE Phase 1
983,983.txt,3026,HS 9-10,,f,15,Hebrew/Arabic,,46,ILCoWE Phase 1
984,984.txt,3027,HS 9-10,,m,15,Hebrew/Arabic,,42,ILCoWE Phase 1
985,985.txt,3028,HS 9-10,,m,15,Hebrew/Arabic,,42,ILCoWE Phase 1
986,986.txt,3029,HS 9-10,,f,15,Hebrew/Arabic,,41,ILCoWE Phase 1
987,987.txt,3030,HS 9-10,,m,15,Hebrew/Arabic,,42,ILCoWE Phase 1
988,988.txt,3031,HS 9-10,,m,15,Hebrew/Arabic,,41,ILCoWE Phase 1
989,989.txt,3032,HS 9-10,,m,15,Hebrew/Arabic,,41,ILCoWE Phase 1
990,990.txt,3033,HS 9-10,,m,15,Hebrew/Arabic,,47,ILCoWE Phase 1
991,991.txt,3034,HS 9-10,,m,15,Hebrew/Arabic,,47,ILCoWE Phase 1
992,992.txt,3035,HS 9-10,,m,15,Hebrew/Arabic,,47,ILCoWE Phase 1
993,993.txt,3036,HS 9-10,,m,15,Hebrew/Arabic,,42,ILCoWE Phase 1
994,994.txt,3037,HS 9-10,,f,15,Hebrew/Arabic,,40,ILCoWE Phase 1
995,995.txt,3038,HS 9-10,,f,15,Hebrew/Arabic,,50,ILCoWE Phase 1
996,996.txt,3039,HS 9-10,,f,15,Hebrew/Arabic,,51,ILCoWE Phase 1
997,997.txt,3040,HS 9-10,,m,15,Hebrew/Arabic,,41,ILCoWE Phase 1
998,998.txt,3041,HS 9-10,,m,15,Hebrew/Arabic,,42,ILCoWE Phase 1
999,999.txt,3042,HS 9-10,,m,15,Hebrew/Arabic,,42,ILCoWE Phase 1
1000,1000.txt,3043,HS 9-10,,m,15,Hebrew/Arabic,,40,ILCoWE Phase 1
1001,1001.txt,3044,HS 9-10,,m,15,Hebrew/Arabic,,41,ILCoWE Phase 1
1002,1002.txt,3045,HS 9-10,,m,15,Hebrew/Arabic,,42,ILCoWE Phase 1
1003,1003.txt,3046,HS 9-10,,f,15,Hebrew/Arabic,,42,ILCoWE Phase 1
1004,1004.txt,3047,HS 9-10,,f,15,Hebrew/Arabic,,41,ILCoWE Phase 1
1005,1005.txt,3048,HS 9-10,,f,15,Hebrew/Arabic,,41,ILCoWE Phase 1
1006,1006.txt,3049,HS 9-10,,f,15,Hebrew/Arabic,,42,ILCoWE Phase 1
1007,1007.txt,3050,HS 9-10,,m,15,Hebrew/Arabic,,42,ILCoWE Phase 1
1008,1008.txt,3051,HS 9-10,,m,15,Hebrew/Arabic,,42,ILCoWE Phase 1
1009,1009.txt,3052,HS 9-10,,m,15,Hebrew/Arabic,,40,ILCoWE Phase 1
1010,1010.txt,3053,HS 9-10,,f,15,Hebrew/Arabic,,42,ILCoWE Phase 1
1011,1011.txt,3054,HS 9-10,,m,15,Hebrew/Arabic,,41,ILCoWE Phase 1
1012,1012.txt,3055,HS 9-10,,f,15,Hebrew/Arabic,,40,ILCoWE Phase 1
1013,1013.txt,3056,HS 9-10,,m,15,Hebrew/Arabic,,41,ILCoWE Phase 1
1014,1014.txt,3057,HS 9-10,,f,15,Hebrew/Arabic,,43,ILCoWE Phase 1
1015,1015.txt,3058,HS 9-10,,f,15,Hebrew/Arabic,,42,ILCoWE Phase 1
1016,1016.txt,3059,HS 9-10,,f,15,Hebrew/Arabic,,43,ILCoWE Phase 1
1017,1017.txt,3060,HS 9-10,,f,15,Hebrew/Arabic,,52,ILCoWE Phase 1
1018,1018.txt,3061,HS 9-10,,m,15,Hebrew/Arabic,,40,ILCoWE Phase 1
1019,1019.txt,3062,HS 9-10,,m,15,Hebrew/Arabic,,51,ILCoWE Phase 1
1020,1020.txt,3063,HS 9-10,,m,15,Hebrew/Arabic,,43,ILCoWE Phase 1
1021,1021.txt,3064,HS 9-10,,f,15,Hebrew/Arabic,,41,ILCoWE Phase 1
1022,1022.txt,3065,HS 9-10,,m,15,Hebrew/Arabic,,43,ILCoWE Phase 1
1023,1023.txt,3066,HS 9-10,,f,15,Hebrew/Arabic,,53,ILCoWE Phase 1
1024,1024.txt,3067,HS 9-10,,f,15,Hebrew/Arabic,,48,ILCoWE Phase 1
1025,1025.txt,3068,HS 9-10,,f,15,Hebrew/Arabic,,41,ILCoWE Phase 1
1026,1026.txt,3069,HS 9-10,,f,15,Hebrew/Arabic,,42,ILCoWE Phase 1
1027,1027.txt,3070,HS 9-10,,f,15,Hebrew/Arabic,,40,ILCoWE Phase 1
1028,1028.txt,3071,HS 9-10,,m,15,Hebrew/Arabic,,42,ILCoWE Phase 1
1029,1029.txt,3072,HS 9-10,,m,15,Hebrew/Arabic,,41,ILCoWE Phase 1
1030,1030.txt,3073,HS 9-10,,f,15,Hebrew/Arabic,,54,ILCoWE Phase 1
1031,1031.txt,3074,HS 9-10,,m,15,Hebrew/Arabic,,41,ILCoWE Phase 1
1032,1032.txt,3075,HS 9-10,,f,15,Hebrew/Arabic,,42,ILCoWE Phase 1
1033,1033.txt,3076,HS 9-10,,m,15,Hebrew/Arabic,,40,ILCoWE Phase 1
1034,1034.txt,3077,HS 9-10,,f,15,Hebrew/Arabic,,40,ILCoWE Phase 1
1035,1035.txt,3078,HS 9-10,,f,15,Hebrew/Arabic,,48,ILCoWE Phase 1
1036,1036.txt,3079,HS 9-10,,f,15,Hebrew/Arabic,,55,ILCoWE Phase 1
1037,1037.txt,3080,HS 9-10,,f,15,Hebrew/Arabic,,48,ILCoWE Phase 1
1038,1038.txt,3081,HS 9-10,,f,15,Hebrew/Arabic,,42,ILCoWE Phase 1
1039,1039.txt,3082,HS 9-10,,m,15,Hebrew/Arabic,,51,ILCoWE Phase 1
1040,1040.txt,3083,HS 9-10,,m,15,Hebrew/Arabic,,56,ILCoWE Phase 1
1041,1041.txt,3084,HS 9-10,,f,15,Hebrew/Arabic,,57,ILCoWE Phase 1
1042,1042.txt,3085,HS 9-10,,m,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1043,1043.txt,3086,HS 9-10,,m,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1044,1044.txt,3087,HS 9-10,,f,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1045,1045.txt,3088,HS 9-10,,m,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1046,1046.txt,3089,HS 9-10,,m,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1047,1047.txt,3090,HS 9-10,,m,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1048,1048.txt,3091,HS 9-10,,m,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1049,1049.txt,3092,HS 9-10,,f,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1050,1050.txt,3093,HS 9-10,,m,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1051,1051.txt,3094,HS 9-10,,m,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1052,1052.txt,3095,HS 9-10,,f,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1053,1053.txt,3096,HS 9-10,,m,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1054,1054.txt,3097,HS 9-10,,m,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1055,1055.txt,3098,HS 9-10,,f,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1056,1056.txt,3099,HS 9-10,,f,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1057,1057.txt,3100,HS 9-10,,f,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1058,1058.txt,3101,HS 9-10,,m,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1059,1059.txt,3102,HS 9-10,,f,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1060,1060.txt,3103,HS 9-10,,m,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1061,1061.txt,3104,HS 9-10,,f,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1062,1062.txt,3105,HS 9-10,,m,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1063,1063.txt,3106,HS 9-10,,m,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1064,1064.txt,3107,HS 9-10,,m,15,Hebrew/Arabic,,59,ILCoWE Phase 1
1065,1065.txt,3108,HS 9-10,,m,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1066,1066.txt,3109,HS 9-10,,f,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1067,1067.txt,3110,HS 9-10,,m,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1068,1068.txt,3111,HS 9-10,,f,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1069,1069.txt,3112,HS 9-10,,m,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1070,1070.txt,3113,HS 9-10,,m,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1071,1071.txt,3114,HS 9-10,,f,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1072,1072.txt,3115,HS 9-10,,f,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1073,1073.txt,3116,HS 9-10,,f,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1074,1074.txt,3117,HS 9-10,,m,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1075,1075.txt,3118,HS 9-10,,f,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1076,1076.txt,3119,HS 9-10,,m,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1077,1077.txt,3120,HS 9-10,,m,15,Hebrew/Arabic,,58,ILCoWE Phase 1
1078,1078.txt,3121,HS 9-10,,f,15,Hebrew/Arabic,,60,ILCoWE Phase 1
1079,1079.txt,3122,HS 9-10,,f,15,Hebrew/Arabic,,61,ILCoWE Phase 1
1080,1080.txt,3123,HS 9-10,,f,15,Hebrew/Arabic,,59,ILCoWE Phase 1
1081,1081.txt,3124,HS 9-10,,m,15,Hebrew/Arabic,,62,ILCoWE Phase 1
1082,1082.txt,3125,HS 9-10,,f,15,Hebrew/Arabic,,63,ILCoWE Phase 1
1083,1083.txt,3126,HS 9-10,,m,15,Hebrew/Arabic,,64,ILCoWE Phase 1
1084,1084.txt,3127,HS 9-10,,m,15,Hebrew/Arabic,,64,ILCoWE Phase 1
1085,1085.txt,3128,HS 9-10,,f,15,Hebrew/Arabic,,65,ILCoWE Phase 1
1086,1086.txt,3129,HS 9-10,,f,15,Hebrew/Arabic,,65,ILCoWE Phase 1
1087,1087.txt,3130,HS 9-10,,m,15,Hebrew/Arabic,,59,ILCoWE Phase 1
1088,1088.txt,3131,HS 9-10,,f,15,Hebrew/Arabic,,59,ILCoWE Phase 1
1089,1089.txt,3132,HS 9-10,,m,15,Hebrew/Arabic,,66,ILCoWE Phase 1
1090,1090.txt,3133,HS 9-10,,m,15,Hebrew/Arabic,,67,ILCoWE Phase 1
1091,1091.txt,3134,HS 9-10,,f,15,Hebrew/Arabic,,68,ILCoWE Phase 1
1092,1092.txt,3135,HS 9-10,,m,15,Hebrew/Arabic,,59,ILCoWE Phase 1
1093,1093.txt,3136,HS 9-10,,m,15,Hebrew/Arabic,,59,ILCoWE Phase 1
1094,1094.txt,3137,HS 9-10,,f,15,Hebrew/Arabic,,69,ILCoWE Phase 1
1095,1095.txt,3138,HS 9-10,,m,15,Hebrew/Arabic,,70,ILCoWE Phase 1
1096,1096.txt,3139,HS 9-10,,f,15,Hebrew/Arabic,,71,ILCoWE Phase 1
1097,1097.txt,3140,HS 9-10,,f,15,Hebrew/Arabic,,72,ILCoWE Phase 1
1098,1098.txt,3141,HS 9-10,,f,15,Hebrew/Arabic,,73,ILCoWE Phase 1
1099,1099.txt,3142,HS 9-10,,m,15,Hebrew/Arabic,,74,ILCoWE Phase 1
1100,1100.txt,3143,HS 9-10,,m,15,Hebrew/Arabic,,75,ILCoWE Phase 1
1101,1101.txt,3144,HS 9-10,,m,15,Hebrew/Arabic,,59,ILCoWE Phase 1
1102,1102.txt,3145,HS 9-10,,m,15,Hebrew/Arabic,,76,ILCoWE Phase 1
1103,1103.txt,3146,HS 9-10,,m,15,Hebrew/Arabic,,77,ILCoWE Phase 1
1104,1104.txt,3147,HS 9-10,,f,15,Hebrew/Arabic,,77,ILCoWE Phase 1
1105,1105.txt,3148,HS 9-10,,m,15,Hebrew/Arabic,,77,ILCoWE Phase 1
1106,1106.txt,3149,HS 9-10,,f,15,Hebrew/Arabic,,78,ILCoWE Phase 1
1107,1107.txt,3150,HS 9-10,,f,15,Hebrew/Arabic,,79,ILCoWE Phase 1
1108,1108.txt,3151,HS 9-10,,f,15,Hebrew/Arabic,,41,ILCoWE Phase 1
1109,1109.txt,3152,HS 9-10,,f,15,Hebrew/Arabic,,80,ILCoWE Phase 1
1110,1110.txt,3153,HS 9-10,,f,15,Hebrew/Arabic,,47,ILCoWE Phase 1
1111,1111.txt,3154,HS 9-10,,m,15,Hebrew/Arabic,,51,ILCoWE Phase 1
1112,1112.txt,3155,HS 9-10,,m,15,Hebrew/Arabic,,77,ILCoWE Phase 1
1113,1113.txt,3156,HS 9-10,,f,15,Hebrew/Arabic,,77,ILCoWE Phase 1
1114,1114.txt,3157,HS 9-10,,m,15,Hebrew/Arabic,,77,ILCoWE Phase 1
1115,1115.txt,3158,HS 9-10,,f,16,Hebrew/Arabic,,77,ILCoWE Phase 1
1116,1116.txt,3159,HS 9-10,,f,16,Hebrew/Arabic,,77,ILCoWE Phase 1
1117,1117.txt,3160,HS 9-10,,f,15,Hebrew/Arabic,,77,ILCoWE Phase 1
1118,1118.txt,3161,HS 9-10,,m,15,Hebrew/Arabic,,77,ILCoWE Phase 1
1119,1119.txt,3162,HS 9-10,,f,15,Hebrew/Arabic,,81,ILCoWE Phase 1
1120,1120.txt,3163,HS 9-10,,f,15,Hebrew/Arabic,,82,ILCoWE Phase 1
1121,1121.txt,3164,HS 9-10,,f,15,Hebrew/Arabic,,83,ILCoWE Phase 1
1122,1122.txt,3165,HS 9-10,,m,15,Hebrew/Arabic,,81,ILCoWE Phase 1
1123,1123.txt,3166,HS 9-10,,m,15,Hebrew/Arabic,,84,ILCoWE Phase 1
1124,1124.txt,3167,HS 9-10,,m,15,Hebrew/Arabic,,85,ILCoWE Phase 1
1125,1125.txt,3168,HS 9-10,,f,15,Hebrew/Arabic,,86,ILCoWE Phase 1
1126,1126.txt,3169,HS 9-10,,m,15,Hebrew/Arabic,,83,ILCoWE Phase 1
1127,1127.txt,3170,HS 9-10,,m,15,Hebrew/Arabic,,81,ILCoWE Phase 1
1128,1128.txt,3171,HS 9-10,,m,15,Hebrew/Arabic,,87,ILCoWE Phase 1
1129,1129.txt,3172,HS 9-10,,m,15,Hebrew/Arabic,,87,ILCoWE Phase 1
1130,1130.txt,3173,HS 9-10,,m,15,Hebrew/Arabic,,81,ILCoWE Phase 1
1131,1131.txt,3174,HS 9-10,,m,15,Hebrew/Arabic,,88,ILCoWE Phase 1
1132,1132.txt,3175,HS 9-10,,f,15,Hebrew/Arabic,,89,ILCoWE Phase 1
1133,1133.txt,3176,HS 9-10,,m,15,Hebrew/Arabic,,90,ILCoWE Phase 1
1134,1134.txt,3177,HS 9-10,,m,16,Hebrew/Arabic,,91,ILCoWE Phase 1
1135,1135.txt,3178,HS 9-10,,f,16,Hebrew/Arabic,,91,ILCoWE Phase 1
1136,1136.txt,3179,HS 9-10,,f,16,Hebrew/Arabic,,92,ILCoWE Phase 1
1137,1137.txt,3180,HS 9-10,,f,16,Hebrew/Arabic,,93,ILCoWE Phase 1
1138,1138.txt,3181,HS 9-10,,m,16,Hebrew/Arabic,,88,ILCoWE Phase 1
1139,1139.txt,3182,HS 9-10,,m,16,Hebrew/Arabic,,88,ILCoWE Phase 1
1140,1140.txt,3183,HS 9-10,,m,16,Hebrew/Arabic,,88,ILCoWE Phase 1
1141,1141.txt,3184,HS 9-10,,m,16,Hebrew/Arabic,,88,ILCoWE Phase 1
1142,1142.txt,3185,HS 9-10,,m,16,Hebrew/Arabic,,88,ILCoWE Phase 1
1143,1143.txt,3186,HS 9-10,,m,16,Hebrew/Arabic,,94,ILCoWE Phase 1
1144,1144.txt,3187,HS 9-10,,f,16,Hebrew/Arabic,,95,ILCoWE Phase 1
1145,1145.txt,3188,HS 9-10,,f,16,Hebrew/Arabic,,96,ILCoWE Phase 1
1146,1146.txt,3189,HS 9-10,,f,16,Hebrew/Arabic,,97,ILCoWE Phase 1
1147,1147.txt,3190,HS 9-10,,m,16,Hebrew/Arabic,,98,ILCoWE Phase 1
1148,1148.txt,3191,HS 9-10,,f,15,Hebrew/Arabic,,81,ILCoWE Phase 1
1149,1149.txt,3192,HS 9-10,,f,15,Hebrew/Arabic,,96,ILCoWE Phase 1
1150,1150.txt,3193,HS 9-10,,f,15,Hebrew/Arabic,,99,ILCoWE Phase 1
1151,1151.txt,3194,HS 9-10,,f,16,Hebrew/Arabic,,100,ILCoWE Phase 1
1152,1152.txt,4000,HS 11-12,,m,17,Hebrew/Arabic,,101,ILCoWE Phase 1
1153,1153.txt,4001,HS 11-12,,f,17,Hebrew/Arabic,,102,ILCoWE Phase 1
1154,1154.txt,4002,HS 11-12,,m,17,Hebrew/Arabic,,103,ILCoWE Phase 1
1155,1155.txt,4003,HS 11-12,,f,17,Hebrew/Arabic,,104,ILCoWE Phase 1
1156,1156.txt,4004,HS 11-12,,f,18,Hebrew/Arabic,,105,ILCoWE Phase 1
1157,1157.txt,4005,HS 11-12,,f,18,Hebrew/Arabic,,106,ILCoWE Phase 1
1158,1158.txt,4006,HS 11-12,,m,18,Hebrew/Arabic,,107,ILCoWE Phase 1
1159,1159.txt,4007,HS 11-12,,m,18,Hebrew/Arabic,,107,ILCoWE Phase 1
1160,1160.txt,4008,HS 11-12,,f,18,Hebrew/Arabic,,108,ILCoWE Phase 1
1161,1161.txt,4009,HS 11-12,,f,17,Hebrew/Arabic,,109,ILCoWE Phase 1
1162,1162.txt,4010,HS 11-12,,m,17,Hebrew/Arabic,,110,ILCoWE Phase 1
1163,1163.txt,4011,HS 11-12,,m,18,Hebrew/Arabic,,110,ILCoWE Phase 1
1164,1164.txt,4012,HS 11-12,,f,17,Hebrew/Arabic,,102,ILCoWE Phase 1
1165,1165.txt,4013,HS 11-12,,m,17,Hebrew/Arabic,,111,ILCoWE Phase 1
1166,1166.txt,4014,HS 11-12,,m,17,Hebrew/Arabic,,112,ILCoWE Phase 1
1167,1167.txt,4015,HS 11-12,,m,17,Hebrew/Arabic,,112,ILCoWE Phase 1
1168,1168.txt,4016,HS 11-12,,m,17,Hebrew/Arabic,,113,ILCoWE Phase 1
1169,1169.txt,4017,HS 11-12,,m,17,Hebrew/Arabic,,114,ILCoWE Phase 1
1170,1170.txt,4018,HS 11-12,,m,17,Hebrew/Arabic,,114,ILCoWE Phase 1
1171,1171.txt,4019,HS 11-12,,f,17,Hebrew/Arabic,,114,ILCoWE Phase 1
1172,1172.txt,4020,HS 11-12,,f,17,Hebrew/Arabic,,114,ILCoWE Phase 1
1173,1173.txt,4021,HS 11-12,,f,17,Hebrew/Arabic,,110,ILCoWE Phase 1
1174,1174.txt,4022,HS 11-12,,m,17,Hebrew/Arabic,,110,ILCoWE Phase 1
1175,1175.txt,4023,HS 11-12,,m,17,Hebrew/Arabic,,110,ILCoWE Phase 1
1176,1176.txt,4024,HS 11-12,,m,17,Hebrew/Arabic,,110,ILCoWE Phase 1
1177,1177.txt,4025,HS 11-12,,f,17,Hebrew/Arabic,,110,ILCoWE Phase 1
1178,1178.txt,4026,HS 11-12,,m,17,Hebrew/Arabic,,110,ILCoWE Phase 1
1179,1179.txt,4027,HS 11-12,,m,17,Hebrew/Arabic,,113,ILCoWE Phase 1
1180,1180.txt,4028,HS 11-12,,f,17,Hebrew/Arabic,,113,ILCoWE Phase 1
1181,1181.txt,4029,HS 11-12,,f,17,Hebrew/Arabic,,110,ILCoWE Phase 1
1182,1182.txt,4030,HS 11-12,,f,17,Hebrew/Arabic,,115,ILCoWE Phase 1
1183,1183.txt,4031,HS 11-12,,m,17,Hebrew/Arabic,,102,ILCoWE Phase 1
1184,1184.txt,4032,HS 11-12,,f,18,Hebrew/Arabic,,116,ILCoWE Phase 1
1185,1185.txt,4033,HS 11-12,,f,17,Hebrew/Arabic,,117,ILCoWE Phase 1
1186,1186.txt,4034,HS 11-12,,m,17,Hebrew/Arabic,,117,ILCoWE Phase 1
1187,1187.txt,4035,HS 11-12,,m,17,Hebrew/Arabic,,117,ILCoWE Phase 1
1188,1188.txt,4036,HS 11-12,,f,17,Hebrew/Arabic,,117,ILCoWE Phase 1
1189,1189.txt,4037,HS 11-12,,m,18,Hebrew/Arabic,,107,ILCoWE Phase 1
1190,1190.txt,4038,HS 11-12,,m,18,Hebrew/Arabic,,118,ILCoWE Phase 1
1191,1191.txt,4039,HS 11-12,,m,18,Hebrew/Arabic,,119,ILCoWE Phase 1
1192,1192.txt,4040,HS 11-12,,m,17,Hebrew/Arabic,,120,ILCoWE Phase 1
1193,1193.txt,4041,HS 11-12,,f,17,Hebrew/Arabic,,117,ILCoWE Phase 1
1194,1194.txt,4042,HS 11-12,,m,17,Hebrew/Arabic,,101,ILCoWE Phase 1
1195,1195.txt,4043,HS 11-12,,f,17,Hebrew/Arabic,,118,ILCoWE Phase 1
1196,1196.txt,4044,HS 11-12,,m,17,Hebrew/Arabic,,121,ILCoWE Phase 1
1197,1197.txt,4045,HS 11-12,,f,18,Hebrew/Arabic,,119,ILCoWE Phase 1
1198,1198.txt,4046,HS 11-12,,m,,Hebrew/Arabic,,122,ILCoWE Phase 1
1199,1199.txt,4047,HS 11-12,,m,18,Hebrew/Arabic,,122,ILCoWE Phase 1
1200,1200.txt,4048,HS 11-12,,f,18,Hebrew/Arabic,,123,ILCoWE Phase 1
1201,1201.txt,4049,HS 11-12,,f,18,Hebrew/Arabic,,118,ILCoWE Phase 1
1202,1202.txt,4050,HS 11-12,,m,18,Hebrew/Arabic,,118,ILCoWE Phase 1
1203,1203.txt,4051,HS 11-12,,m,18,Hebrew/Arabic,,124,ILCoWE Phase 1
1204,1204.txt,4052,HS 11-12,,m,18,Hebrew/Arabic,,125,ILCoWE Phase 1
1205,1205.txt,4053,HS 11-12,,m,18,Hebrew/Arabic,,110,ILCoWE Phase 1
1206,1206.txt,4054,HS 11-12,,f,18,Hebrew/Arabic,,104,ILCoWE Phase 1
1207,1207.txt,4055,HS 11-12,,f,18,Hebrew/Arabic,,126,ILCoWE Phase 1
1208,1208.txt,4056,HS 11-12,,f,18,Hebrew/Arabic,,110,ILCoWE Phase 1
1209,1209.txt,4057,HS 11-12,,f,18,Hebrew/Arabic,,127,ILCoWE Phase 1
1210,1210.txt,4058,HS 11-12,,f,18,Hebrew/Arabic,,127,ILCoWE Phase 1
1211,1211.txt,4059,HS 11-12,,m,18,Hebrew/Arabic,,128,ILCoWE Phase 1
1212,1212.txt,4060,HS 11-12,,f,17,Hebrew/Arabic,,129,ILCoWE Phase 1
1213,1213.txt,4061,HS 11-12,,f,17,Hebrew/Arabic,,130,ILCoWE Phase 1
1214,1214.txt,4062,HS 11-12,,f,17,Hebrew/Arabic,,131,ILCoWE Phase 1
