ID,Filename,Learner ID,Level,Date,Gender,Age,L1,Other L1,Prompt,Subcorpus
75,75.txt,1008,MA 1,31/03/2019,,,Arabic,Hebrew,9,ArCC
76,76.txt,1008,MA 1,19/05/2019,,,Arabic,Hebrew,10,ArCC
77,77.txt,1009,MA 1,21/10/2018,,,Arabic,Hebrew,1,ArCC
78,78.txt,1009,MA 1,18/11/2018,,,Arabic,Hebrew,2,ArCC
79,79.txt,1009,MA 1,25/11/2018,,,Arabic,Hebrew,3,ArCC
80,80.txt,1009,MA 1,02/12/2018,,,Arabic,Hebrew,4,ArCC
81,81.txt,1009,MA 1,09/12/2018,,,Arabic,Hebrew,5,ArCC
82,82.txt,1009,MA 1,06/01/2019,,,Arabic,Hebrew,6,ArCC
83,83.txt,1009,MA 1,13/01/2019,,,Arabic,Hebrew,7,ArCC
84,84.txt,1009,MA 1,24/03/2019,,,Arabic,Hebrew,8,ArCC
85,85.txt,1009,MA 1,31/03/2019,,,Arabic,Hebrew,9,ArCC
86,86.txt,1009,MA 1,19/05/2019,,,Arabic,Hebrew,10,ArCC
87,87.txt,1009,MA 1,02/06/2019,,,Arabic,Hebrew,11,ArCC
88,88.txt,1010,MA 1,21/10/2018,,,Arabic,Hebrew,1,ArCC
89,89.txt,1010,MA 1,18/11/2018,,,Arabic,Hebrew,2,ArCC
90,90.txt,1010,MA 1,25/11/2018,,,Arabic,Hebrew,3,ArCC
91,91.txt,1010,MA 1,02/12/2018,,,Arabic,Hebrew,4,ArCC
92,92.txt,1010,MA 1,09/12/2018,,,Arabic,Hebrew,5,ArCC
93,93.txt,1010,MA 1,13/01/2019,,,Arabic,Hebrew,7,ArCC
94,94.txt,1010,MA 1,24/03/2019,,,Arabic,Hebrew,8,ArCC
95,95.txt,1010,MA 1,31/03/2019,,,Arabic,Hebrew,9,ArCC
96,96.txt,1010,MA 1,19/05/2019,,,Arabic,Hebrew,10,ArCC
97,97.txt,1011,MA 1,21/10/2018,,,Arabic,Hebrew,1,ArCC
98,98.txt,1011,MA 1,25/11/2018,,,Arabic,Hebrew,3,ArCC
99,99.txt,1011,MA 1,09/12/2018,,,Arabic,Hebrew,5,ArCC
100,100.txt,1011,MA 1,06/01/2019,,,Arabic,Hebrew,6,ArCC
101,101.txt,1011,MA 1,13/01/2019,,,Arabic,Hebrew,7,ArCC
102,102.txt,1011,MA 1,31/03/2019,,,Arabic,Hebrew,9,ArCC
103,103.txt,1011,MA 1,19/05/2019,,,Arabic,Hebrew,10,ArCC
104,104.txt,1012,MA 1,21/10/2018,,,Arabic,Hebrew,1,ArCC
105,105.txt,1012,MA 1,18/11/2018,,,Arabic,Hebrew,2,ArCC
106,106.txt,1012,MA 1,25/11/2018,,,Arabic,Hebrew,3,ArCC
107,107.txt,1012,MA 1,02/12/2018,,,Arabic,Hebrew,4,ArCC
108,108.txt,1012,MA 1,09/12/2018,,,Arabic,Hebrew,5,ArCC
109,109.txt,1012,MA 1,06/01/2019,,,Arabic,Hebrew,6,ArCC
110,110.txt,1012,MA 1,13/01/2019,,,Arabic,Hebrew,7,ArCC
111,111.txt,1012,MA 1,24/03/2019,,,Arabic,Hebrew,8,ArCC
112,112.txt,1012,MA 1,19/05/2019,,,Arabic,Hebrew,10,ArCC
113,113.txt,1012,MA 1,02/06/2019,,,Arabic,Hebrew,11,ArCC
114,114.txt,1013,MA 1,21/10/2018,,,Arabic,Hebrew,1,ArCC
115,115.txt,1013,MA 1,18/11/2018,,,Arabic,Hebrew,2,ArCC
116,116.txt,1013,MA 1,25/11/2018,,,Arabic,Hebrew,3,ArCC
117,117.txt,1013,MA 1,09/12/2018,,,Arabic,Hebrew,5,ArCC
118,118.txt,1013,MA 1,06/01/2019,,,Arabic,Hebrew,6,ArCC
119,119.txt,1013,MA 1,24/03/2019,,,Arabic,Hebrew,8,ArCC
120,120.txt,1013,MA 1,31/03/2019,,,Arabic,Hebrew,9,ArCC
121,121.txt,1014,MA 1,21/10/2018,,,Arabic,Hebrew,1,ArCC
122,122.txt,1014,MA 1,25/11/2018,,,Arabic,Hebrew,3,ArCC
123,123.txt,1014,MA 1,02/12/2018,,,Arabic,Hebrew,4,ArCC
124,124.txt,1014,MA 1,09/12/2018,,,Arabic,Hebrew,5,ArCC
125,125.txt,1014,MA 1,06/01/2019,,,Arabic,Hebrew,6,ArCC
126,126.txt,1014,MA 1,13/01/2019,,,Arabic,Hebrew,7,ArCC
127,127.txt,1014,MA 1,24/03/2019,,,Arabic,Hebrew,8,ArCC
128,128.txt,1014,MA 1,31/03/2019,,,Arabic,Hebrew,9,ArCC
129,129.txt,1014,MA 1,19/05/2019,,,Arabic,Hebrew,10,ArCC
130,130.txt,1015,MA 1,21/10/2018,,,Arabic,Hebrew,1,ArCC
131,131.txt,1015,MA 1,25/11/2018,,,Arabic,Hebrew,3,ArCC
132,132.txt,1015,MA 1,02/12/2018,,,Arabic,Hebrew,4,ArCC
133,133.txt,1015,MA 1,09/12/2018,,,Arabic,Hebrew,5,ArCC
134,134.txt,1015,MA 1,13/01/2019,,,Arabic,Hebrew,7,ArCC
135,135.txt,1015,MA 1,24/03/2019,,,Arabic,Hebrew,8,ArCC
136,136.txt,1015,MA 1,31/03/2019,,,Arabic,Hebrew,9,ArCC
137,137.txt,1015,MA 1,02/06/2019,,,Arabic,Hebrew,11,ArCC
138,138.txt,1016,MA 1,21/10/2018,,,Arabic,Hebrew,1,ArCC
139,139.txt,1016,MA 1,25/11/2018,,,Arabic,Hebrew,3,ArCC
140,140.txt,1016,MA 1,02/12/2018,,,Arabic,Hebrew,4,ArCC
141,141.txt,1016,MA 1,09/12/2018,,,Arabic,Hebrew,5,ArCC
142,142.txt,1016,MA 1,06/01/2019,,,Arabic,Hebrew,6,ArCC
143,143.txt,1016,MA 1,24/03/2019,,,Arabic,Hebrew,8,ArCC
